,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Pacific Grove,US,36.6177,-121.9166,93.6,80,1,4.0,clear sky
277,Shellbrook,CA,53.2168,-106.4011,76.23,24,69,7.05,broken clouds
278,Nouakchott,MR,18.0858,-15.9785,82.33,80,8,14.16,clear sky
279,Comarapa,BO,-17.9,-64.4833,49.95,94,100,2.64,overcast clouds
280,Mulchen,CL,-37.7167,-72.2333,66.06,68,25,6.91,scattered clouds
281,Havoysund,NO,70.9963,24.6622,43.68,78,97,12.77,light rain
282,Mae Hong Son,TH,19.3003,97.9685,73.2,99,100,2.39,overcast clouds
283,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,81,75,4.47,broken clouds
284,Olafsvik,IS,64.8945,-23.7142,50.74,86,100,18.28,overcast clouds
285,Beyneu,KZ,45.3167,55.2,59.99,25,0,1.59,clear sky
286,Peniche,PT,39.3558,-9.3811,70.09,92,71,7.99,broken clouds
287,Oktyabrskiy,RU,54.4815,53.471,53.08,93,95,13.98,overcast clouds
288,Margate,GB,51.3813,1.3862,66.69,91,27,9.4,scattered clouds
289,Ancud,CL,-41.8697,-73.8203,56.73,83,46,3.94,scattered clouds
290,Weyburn,CA,49.6668,-103.8511,84.18,21,68,10.36,broken clouds
291,Cumra,TR,37.5732,32.7745,66.0,41,1,5.86,clear sky
292,Flinders,AU,-34.5833,150.8552,66.06,48,76,1.01,broken clouds
293,Belance,PH,16.1833,121.25,67.62,98,100,2.19,light rain
294,Mayo,US,38.8876,-76.5119,77.95,73,1,1.99,clear sky
295,Lang Son,VN,21.8333,106.7333,73.17,94,3,2.33,clear sky
296,Masty,BY,53.4122,24.5387,57.27,76,14,6.44,few clouds
297,Ilebo,CD,-4.3167,20.5833,75.72,67,44,1.23,scattered clouds
298,Samarai,PG,-10.6167,150.6667,78.62,87,100,20.4,overcast clouds
299,Buin,CL,-33.7333,-70.75,77.32,45,53,3.69,broken clouds
300,Jumla,NP,29.2747,82.1838,60.33,94,94,1.32,light rain
301,Zapolyarnyy,RU,69.4154,30.8136,40.28,95,41,10.38,scattered clouds
302,Lingyuan,CN,41.24,119.4011,55.49,89,1,3.24,clear sky
303,Beira,MZ,-19.8436,34.8389,72.41,80,9,13.96,light rain
304,Zyryanskoye,RU,56.8306,86.6258,44.04,92,95,12.19,overcast clouds
305,Mathbaria,BD,22.2876,89.9593,79.56,81,17,1.5,few clouds
306,Leningradskaya,RU,46.3214,39.3877,59.38,50,0,7.49,clear sky
307,Chokurdakh,RU,70.6333,147.9167,32.43,82,98,2.46,overcast clouds
308,La Union,PE,-5.4,-80.75,76.01,55,33,19.3,scattered clouds
309,Port Lincoln,AU,-34.7333,135.8667,56.59,48,0,6.87,clear sky
310,Zarubino,RU,42.63,131.0922,68.54,90,70,4.47,broken clouds
311,Kilindoni,TZ,-7.9139,39.6668,75.97,78,28,12.35,scattered clouds
312,Lasa,IT,46.6166,10.7002,63.48,88,39,1.97,scattered clouds
313,Maniitsoq,GL,65.4167,-52.9,39.56,54,3,10.45,clear sky
314,Cabrobo,BR,-8.5142,-39.31,87.03,27,4,5.91,clear sky
315,Guanica,PR,17.9716,-66.908,85.98,83,54,5.01,broken clouds
316,Dongsheng,CN,39.8161,109.9776,60.15,29,0,6.53,clear sky
317,Khani,GE,41.9563,42.9566,58.57,76,1,5.21,clear sky
318,Te Anau,NZ,-45.4167,167.7167,42.58,95,100,4.18,overcast clouds
319,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,20,13.8,few clouds
320,Kaoma,ZM,-14.7833,24.8,71.44,32,2,10.0,clear sky
321,Cidreira,BR,-30.1811,-50.2056,61.3,67,36,16.24,scattered clouds
322,Shelburne,CA,44.0787,-80.2041,65.75,59,14,11.36,few clouds
323,Atocha,BO,-20.9333,-66.2333,52.3,5,29,15.73,scattered clouds
324,Damghan,IR,36.1683,54.348,68.88,58,0,4.21,clear sky
325,Bethel,US,41.3712,-73.414,70.65,93,100,2.62,light rain
326,Dingle,PH,10.9995,122.6711,75.85,93,100,7.99,light rain
327,Victor Harbor,AU,-35.5667,138.6167,55.72,74,25,5.91,scattered clouds
328,Khatanga,RU,71.9667,102.5,55.04,62,100,14.85,overcast clouds
329,Ahtopol,BG,42.1,27.95,66.67,66,100,10.18,overcast clouds
330,Ust-Maya,RU,60.4167,134.5333,42.26,60,20,1.54,few clouds
331,Komsomolskiy,UZ,40.4272,71.7189,72.32,33,3,4.61,clear sky
